Nome,Cidade,Status,Instagram Candidato,Link Google Maps
Academia ProAtive,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ-3PEYAAPlwARFfERxO6Pemo
Barreto,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ19WSAbkRlwARRj-3--CeB7o
Bendita Barbearia e conveniência,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ46s8Wp8PlwARuXSuFBMYAyM
Ciranda Cirandinha,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ24B1Tb8PlwARZBUs9gHIqsg
DISTRIBUIDORA Pai & Filho,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ-RFKFyYQlwARIlQgB9hsjNk
Delícias da Deia,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ2WL6mqCYMYURmgVo081v87A
Drogaria Mega Popular Bairro São João SPA,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ-83qzbsFlwARLPvDo0tkcGg
Material de construção M costa,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ08SrTwMPlwAR51onkwiom9Y
Matheus vieira barbearia,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ-a7eiCoPlwARoHiDbdNSlhY
Mundo Pet,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ23K435sFlwARqKfRpwpqJXI
PADARIA DO BALNEARIO,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ46BRTj0OlwARZkGrbHDFG8Y
Padaria Forninho,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ00Q6hc8blwARSkl8jPr-LKI
Padaria Pão Vip,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ-7wlDvoFlwARn2y2TXDBk6Y
Padaria Renascer,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ4URNFCUFlwAR3Mm-P_9z6Pg
Padaria do Thiago,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ-f-jB-sPlwARp04y8rwf-cE
Pai & Filho JS,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ1WrE4z4PlwARlTk3JBUmH9c
Pizzaria do Marcelo,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ028ij1kElwARsWC2p2df0-c
Só -Tintas,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ0ZG13b0PlwARSVIoWfNmHaw
WS REFRIGERAÇÃO AUTOMOTIVA E AUTO ELÉTRICA E OFICINA MECÂNICA..,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade),,https://www.google.com/maps/place/?q=place_id:ChIJ15gVK5IFlwARhf_QQRJurUo
022Multimarcas,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ2wOVSI0FlwARsncsLN-MRq4
ALPHA MINI MERCADO,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ1XXpuOoPlwARc9yr56MMf7k
AVALIAÇÃO NEUROPSICOLÓGICA INFANTIL NEUROPSICOLOGIA INFANTOJUVENIL - Região dos Lagos/RJ,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ4-Nemd4PlwARsEUlt9haVmY
Academia Dina's Center,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ09m8vogFlwARVkKXNjgu0Mw
Academia Rose Fit,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-QJHSPgNlwARBm9uRQWQlTk
Alcateia pet house,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ2Up8dooPlwAR4-XbX0ta-jU
Alves Imóveis,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ21lJhNwPlwARWzI8K94byg0
Assistência mecânica CITROLIFE,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-eRwBsQPlwAR3_lZzHPm_CY
Atacadão das Imagens,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ2Vjr0r4PlwAR3h_jSRQdke0
Auto Mecânica Litoral,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ11Io4D0OlwARUYAfNh2EcWY
Barbearia Dus Magrin,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ03-jkrAPlwARd1CWXTA5yfY
Barbearia Gato Mestre,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ2a8x_ZsPlwARk-fmZZLoTUU
Barbearia do Eco,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-f3swJYHlwARiCByUvlXUpg
BarberV,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-X_7wOEPlwARZ-jqymislZk
Bazar & Material de Construção,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ08_cCcMPlwAREvacldUY_3k
Belcão Banho e Tosa,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ4c0RWeIPlwARqD3qciYsMi8
Bem Viver Estética & Terapia,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-RmyV8cPlwARTUFvhTR2QIo
Beto PB,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ1TKEY8wPlwAR6nYQfoH7hnY
CENTRO DE TREINAMENTO ARENA FIGHT,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ39X8FogFlwAR5ik9CYWlP24
Cabelinho Barbershop,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ1YILpZgblwARtGuVafTeZ80
Carfox,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ3Ql2Nn0HlwARdbnfl2wj4EU
Caroline Imoveis,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ0TlcqCUPlwARPh0qXZNZGHU
Clínica Jô Lima Micropigmentação e Estética,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-UFDVscPlwARJK8A_wAQ8m8
Condominio Chico Estevão,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ445K89IalwARt2eAIXpt-4w
Consultório Odontológico Dra Christiane Ferreira,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ194x-AwPlwARu49GMRghYWI
Consultório Odontológico Dra. Sônia Marques,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ1b3FV-8PlwARkErb2I4ikEc
Da Casa Tem Tudo,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-SEz9WQFlwARwUMrADW4VwQ
Docemonte,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ0Y9N2-sRlwARkW8gO5V_l1c
Doutor Júlio José F. Queiroz,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ4coWybgPlwAR_Ks4-XWl7MQ
Drogaria Legítima,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-_YL_2wFlwARbb6aAxhErOw
Drogaria São José,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ2ZxedeUPlwARhcjzCB49NY0
Drogaria São João,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ4cfSsGsFlwARKA2qS-TUyv4
Espaço Connect Coworking LDR,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ2ZLHp8APlwARGUgs-2OWzXo
Flor da Aldeia,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ0dOFZS0PlwAR7eL9tx_mwm4
GFTeam São Pedro da Aldeia - Gustavo Alves JIU-JITSU,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ3yxwoQoPlwARLK1SbXduc64
Giangareli | Estética,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ434Ch_uBp5MRIPo7ejgRDas
Guedes motors,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ49A7n5YPlwAR09aOZMkU7VM
Hortifruti Serra e Mar,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-a6vm_UFlwAR6fWg1TDrB1E
Kikão Petshop,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ16OoEN4FlwAR3M99LsS49bw
MERCADO PRAIA LINDA,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ3yXeTnMTlwAR8cJdziHiHS8
"Macedo Assessoria Administrativa, Contábil E Imobiliária","São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ0fysFXsFlwARSqTz5DgdxRA
Mercado e padaria Novo Amanhecer,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ-ciKfkcFlwARt9V7vTN2OiE
Mercearia Capixaba,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ0whxxG0FlwARwOEStYCxzE8
Mercearia do Kito,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ0aV2eqiglwARfxLWOvJ22n4
Mt Barbearia,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ2ThZotoblwARfJWF8a-8OAc
OdontoCompany,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ46vHU74PlwARaERDEwOc7uQ
Odontocinica Nova Sao Pedro ltda,"São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ3XULTuUPlwARtcxouAh2c2E
"Oficina Mecânica em geral e Ar-condicionado Automotivo, atendimento 24hrs","São Pedro da Aldeia, RJ",Instagram não encontrado,,https://www.google.com/maps/place/?q=place_id:ChIJ3VORXrgFlwARYPpKkoSeH9Q
