Nome,Cidade,Status,Instagram Candidato,Link Google Maps
Agropecuária Rb,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@agropecuaria_rb (bio não menciona cidade),https://www.google.com/maps/place/?q=place_id:ChIJvwQQ2CYFlwARykG0vI_v1GU
Barbearia do Pablo,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJqezpB5wPlwARq7EFPuIQWpc
Bendita Barbearia e conveniência,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJnbv74KwPlwAR2tslLQ7Gpws
CMattos,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"candidato ""Mattos Imobiliária"" (sem handle confirmado)",https://www.google.com/maps/place/?q=place_id:ChIJv_nVHcEPlwARzvFpEPsIUtg
Casa do bocão,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJtUCjQcEPlwARXfLknAfRs1k
Centro Automotivo,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"candidato ""Car & Cia Centro Automotivo"" (sem handle confirmado)",https://www.google.com/maps/place/?q=place_id:ChIJyXzWbQAPlwARC_oedXWa-pM
Construforte Materiais de Construção,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"perfil achado, cidade não confirmada (handle não anotado)",https://www.google.com/maps/place/?q=place_id:ChIJlzoV19AalwARiyD2l_LEFB8
Do Auau ao miau Banho e tosa,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJzxJZ3BsPlwARRJSXjcQN9Oo
Drogaria nova são pedro,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@drogaria__nova,https://www.google.com/maps/place/?q=place_id:ChIJmydWBFgPlwARBSOZQTsVw_M
EMBAPEL SÃO PEDRO DA ALDEIA,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@distribuidora.embapel (perfil cobre várias filiais/cidades),https://www.google.com/maps/place/?q=place_id:ChIJqV6fawAPlwARWCjI4_d6fCQ
Elaine Cristina Oliveira Psicopedagoga/Neuropsicopedagoga,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJx8puK_IPlwARjl7AGx4qREc
Escritório de Advocacia Siqueira e Oliveira Advogados,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@siqueiraeoliveiraadv,https://www.google.com/maps/place/?q=place_id:ChIJxfkiPAAFlwARFEFfc0lYYCg
Ferramentas & Cia,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"candidato ""Aldy Ferramentas & Cia"" (nome não bate 100%)",https://www.google.com/maps/place/?q=place_id:ChIJzeNShr0PlwARtrVN1iqH0GQ
Império do corte,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJkSNEcBcPlwARDTIx_JdCt2U
Material De Construção Novo Horizonte,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@mcnovohorizonte,https://www.google.com/maps/place/?q=place_id:ChIJl2qOAqoPlwARnq7A4aFDuDk
Mc Lanches / X Tudo Hambúrguer Batata Frita açaí refrig. (Lanchonete do Mauricio).lanche . Hamburgueria . Acai .lanchonete.,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@lanchonete_mauricio_pastelaria,https://www.google.com/maps/place/?q=place_id:ChIJlS_Fp9kFlwARNbs0vzwdDoE
Moriá imóveis e Construções,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@negociosmoriaimoveis ou @moriareformass (não confirmado qual),https://www.google.com/maps/place/?q=place_id:ChIJmY1tA9oPlwARburhHDwu-OE
Nelson Dutra Imóveis,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"candidato ""Nilson Dutra Escritório Imobiliário"" (nome diverge de ""Nelson Dutra"")",https://www.google.com/maps/place/?q=place_id:ChIJu8h-9r8PlwARIrPiG663acA
Oficina Marques e Oliveira,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@oficina_marques,https://www.google.com/maps/place/?q=place_id:ChIJkaSLgzYPlwAR10DLwdDZSCA
Oficina do irmão Fábio,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"múltiplos perfis ""Fabinho"" (ambíguo, sem confirmação)",https://www.google.com/maps/place/?q=place_id:ChIJvX4TZgAPlwAR33sYO_wrSME
Padaria E Confeitaria Oliveira,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@padaria_confeitariaoliveira,https://www.google.com/maps/place/?q=place_id:ChIJp4aCr3EFlwARZ2kDywSVApk
Paty Modas,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@patymodasspa,https://www.google.com/maps/place/?q=place_id:ChIJqyOwT8cPlwARQEamTuFopZ8
"Pizzaria Maravilhosa pizza, são pedro da aldeia delivery","São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"perfil achado, não confirmado (handle não anotado)",https://www.google.com/maps/place/?q=place_id:ChIJl70YO7kFlwARnV58bdOY1W8
TARCISO BARBERSHOP 4,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"@tarcisobarbershop4 (CEP da bio é de Cabo Frio, pode ser outra filial)",https://www.google.com/maps/place/?q=place_id:ChIJrfkljbwblwAR2YmfmB5krR0
Tahiti Inn valor ?,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),@moteltahiti2023 (Motel Tahiti),https://www.google.com/maps/place/?q=place_id:ChIJq9USskEFlwARYf3ziJenbcs
Veiga Barbearia,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJx-CXedwPlwARoh6E2Q_TJSw
WA Fitness,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJm7jmC7UFlwAR5bJUmWiZcJ0
Wlbarbearia,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),,https://www.google.com/maps/place/?q=place_id:ChIJvbIoi5gPlwARVbmC9Z9OJbA
pizzas da kika,"São Pedro da Aldeia, RJ",Duvidoso (confirmar cidade/negócio),"nome bate exatamente, cidade não confirmada (handle não anotado)",https://www.google.com/maps/place/?q=place_id:ChIJr0L1suQPlwARhcPPUVdTn4Y
